Relatório de termos de pesquisa
1 de agosto de 2025 - 31 de dezembro de 2025
Mês,Termo de pesquisa,Tipo de corresp.,Adicionada/excluída,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Taxa de conv.,Conversões,Custo / conv.
dezembro de 2025,assistência técnica ar condicionado lg perto de mim,Correspondência de frase (variação aproximada),Nenhum,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,venda de ar condicionado piracicaba,Correspondência de frase (variação aproximada),Nenhum,1,1,"100,00%",BRL,"0,11","0,11","0,00%","0,00","0,00"
dezembro de 2025,venda e instalação de ar condicionado,Correspondência de frase (variação aproximada),Nenhum,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,ar condicionado limeira,Correspondência de frase (variação aproximada),Nenhum,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,empresa que instala ar condicionado,Correspondência exata (variante aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,trevisan ar condicionado americana,Correspondência de frase (variação aproximada),Nenhum,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
novembro de 2025,ar condicionado limeira,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,instalacao de ar condicionado perto de mim,Correspondência de frase (variação aproximada),Nenhum,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,frigelar whatsapp,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
novembro de 2025,frigelar com br,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,instalador de ar condicionado campinas,Correspondência de frase,Nenhum,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
