Relatório de termos de pesquisa
5 de agosto de 2025 - 31 de dezembro de 2025
Mês,Termo de pesquisa,Tipo de corresp.,Adicionada/excluída,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Taxa de conv.,Conversões,Custo / conv.
dezembro de 2025,como instala ar condicionado,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,instalação ar condicionado americana,Correspondência de frase (variação aproximada),Nenhum,1,5,"20,00%",BRL,"3,77","3,77","100,00%","1,00","3,77"
dezembro de 2025,instalação de ar condicionado americana sp,Correspondência de frase,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
novembro de 2025,valor da instalação de ar condicionado,Correspondência de frase,Nenhum,1,4,"25,00%",BRL,"1,58","1,58","0,00%","0,00","0,00"
novembro de 2025,manutenção de ar condicionado residencial,Correspondência de frase (variação aproximada),Nenhum,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
novembro de 2025,ar condicionado em campinas,Correspondência de frase (variação aproximada),Nenhum,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,valor para instalar ar condicionado,Correspondência de frase (variação aproximada),Nenhum,0,6,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
novembro de 2025,empresa que instala ar condicionado,Correspondência exata (variante aproximada),Nenhum,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,ar condicionado tatui,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,custo higienizacao ar condicionado,Correspondência de frase (variação aproximada),Nenhum,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,artec ar condicionado,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
novembro de 2025,ar condicionado campinas,Correspondência de frase (variação aproximada),Nenhum,0,14,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
novembro de 2025,instalador autorizado lg ar condicionado,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,empresa de ar condicionado em americana,Correspondência de frase (variação aproximada),Nenhum,0,4,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,ar condicionado arrumar,Correspondência exata (variante aproximada),Nenhum,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,instalação de ar condicionado lg dual inverter,Correspondência de frase,Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,assistência técnica ar condicionado,Correspondência exata (variante aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
novembro de 2025,valor recarga gás ar condicionado residencial,Correspondência de frase (variação aproximada),Nenhum,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
novembro de 2025,quanto é uma carga de gás no ar condicionado,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,instalador de ar condicionado perto de mim,Correspondência exata,Adicionado,0,22,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,assistencia tecnica ar condicionado comfee,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
novembro de 2025,autorizada carrier ar condicionado,Correspondência de frase (variação aproximada),Nenhum,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
dezembro de 2025,montador de ar condicionado,Correspondência de frase (variação aproximada),Nenhum,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
